VacancyID,jobTitle,jobCategory,jobFunction,jobLevel,country,stateProvince,city,postalCode,lat,lng,externalURLRet,Distance
59,"Supervisor - Store# 12045, GLASGOW - BOTHWELL S",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,Glasgow,G2 6AU,55.86112,-4.26072,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001895&lang=en-GB,
60,"Barista - Store# 12045, GLASGOW - BOTHWELL S",Retail Stores,Barista,Individual contributor,United Kingdom,England,Glasgow,G2 6AU,55.86112,-4.26072,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001896&lang=en-GB,
61,"Supervisor - Store# 12052, MUSWELL HILL - BROAD",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,N10 3RU,51.59003,-0.14361,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001897&lang=en-GB,
62,"Barista - Store# 12052, MUSWELL HILL - BROAD",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,N10 3RU,51.59003,-0.14361,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001898&lang=en-GB,
63,"Supervisor - Store# 12053, GLASGOW - SAUCHIEHAL",Retail Stores,Shift Supervisor,Team leader,United Kingdom,Scotland,Glasgow,G2 3AT,55.86424,-4.25484,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001899&lang=en-GB,
64,"Barista - Store# 12053, GLASGOW - SAUCHIEHAL",Retail Stores,Barista,Individual contributor,United Kingdom,Scotland,Glasgow,G2 3AT,55.86424,-4.25484,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001900&lang=en-GB,
67,"Supervisor - Store# 12058, PRINCES STREET, LOND",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,W1B 2LY,51.51434,-0.14253,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001903&lang=en-GB,
68,"Barista - Store# 12058, PRINCES STREET, LOND",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,W1B 2LY,51.51434,-0.14253,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001904&lang=en-GB,
69,"Supervisor - Store# 12060, EDINBURGH - LOTHIAN",Retail Stores,Shift Supervisor,Team leader,United Kingdom,Scotland,Edinburgh,EH3 9AN,55.94621,-3.20506,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001905&lang=en-GB,
70,"Barista - Store# 12060, EDINBURGH - LOTHIAN",Retail Stores,Barista,Individual contributor,United Kingdom,Scotland,Edinburgh,EH3 9AN,55.94621,-3.20506,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001906&lang=en-GB,
71,"Supervisor - Store# 12061, VICTORIA STREET, 27",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,SW1H 0EX,51.49812,-0.13267,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001907&lang=en-GB,
72,"Barista - Store# 12061, VICTORIA STREET, 27",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,SW1H 0EX,51.49812,-0.13267,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001908&lang=en-GB,
73,"Supervisor - Store# 12063, EARLS COURT-OLD BROM",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,SW5 9HP,51.48913,-0.19068,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001909&lang=en-GB,
74,"Barista - Store# 12063, EARLS COURT-OLD BROM",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,SW5 9HP,51.48913,-0.19068,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001910&lang=en-GB,
75,"Supervisor - Store# 12068, LANGHAM PLACE W1",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,W1B 3DE,51.51748,-0.14268,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001911&lang=en-GB,
76,"Barista - Store# 12068, LANGHAM PLACE W1",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,W1B 3DE,51.51748,-0.14268,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001912&lang=en-GB,
77,"Supervisor - Store# 12069, MANCHESTER - TRAFFOR",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,The Trafford Centre,M17 8EH,53.46644,-2.34938,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001913&lang=en-GB,
78,"Barista - Store# 12069, MANCHESTER - TRAFFOR",Retail Stores,Barista,Individual contributor,United Kingdom,England,The Trafford Centre,M17 8EH,53.46644,-2.34938,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001914&lang=en-GB,
79,"Supervisor - Store# 12071, CHELSEA - KINGS ROAD",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,SW3 4PL,51.48843,-0.16617,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001915&lang=en-GB,
80,"Barista - Store# 12071, CHELSEA - KINGS ROAD",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,SW3 4PL,51.48843,-0.16617,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001916&lang=en-GB,
82,"Barista - Store# 12072, CLAPHAM - NORTHCOTE",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,SW11 1NZ,51.45946,-0.16665,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001918&lang=en-GB,
83,"Supervisor - Store# 12073, KENSINGTON-GLOUCESTE",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,SW7 4PL,51.49796,-0.1836,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001919&lang=en-GB,
84,"Barista - Store# 12073, KENSINGTON-GLOUCESTE",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,SW7 4PL,51.49796,-0.1836,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001920&lang=en-GB,
85,"Supervisor - Store# 12079, NOTTING HILL - PORTO",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,W11 1LT,51.51683,-0.2059,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001921&lang=en-GB,
86,"Barista - Store# 12079, NOTTING HILL - PORTO",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,W11 1LT,51.51683,-0.2059,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001922&lang=en-GB,
87,"Supervisor - Store# 12081, CANARY WHARF - CANAD",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,E14 5AB,51.5047,-0.01973,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001923&lang=en-GB,
88,"Barista - Store# 12081, CANARY WHARF - CANAD",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,E14 5AB,51.5047,-0.01973,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001924&lang=en-GB,
89,"Supervisor - Store# 12082, LEEDS - STATION, N C",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,West Yorkshire,LS1 4DT,53.79539,-1.54814,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001925&lang=en-GB,
90,"Barista - Store# 12082, LEEDS - STATION, N C",Retail Stores,Barista,Individual contributor,United Kingdom,England,West Yorkshire,LS1 4DT,53.79539,-1.54814,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001926&lang=en-GB,
91,"Supervisor - Store# 12083, BLUEWATER, U127",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,Bluewater,DA9 9SS,51.43914,0.27227,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001927&lang=en-GB,
92,"Barista - Store# 12083, BLUEWATER, U127",Retail Stores,Barista,Individual contributor,United Kingdom,England,Bluewater,DA9 9SS,51.43914,0.27227,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001928&lang=en-GB,
93,"Supervisor - Store# 12085, HAMPSTEAD - WEST END",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,NW6 2LJ,51.54726,-0.19134,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001929&lang=en-GB,
94,"Barista - Store# 12085, HAMPSTEAD - WEST END",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,NW6 2LJ,51.54726,-0.19134,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001930&lang=en-GB,
95,"Supervisor - Store# 12088, BROMLEY - MARKET SQU",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,Bromley,BR1 1NA,51.40556,0.01556,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001931&lang=en-GB,
96,"Barista - Store# 12088, BROMLEY - MARKET SQU",Retail Stores,Barista,Individual contributor,United Kingdom,England,Bromley,BR1 1NA,51.40556,0.01556,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001932&lang=en-GB,
97,"Supervisor - Store# 12096, BLUEWATER, U007",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,Bluewater,DA9 9SS,51.43914,0.27227,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001933&lang=en-GB,
98,"Barista - Store# 12096, BLUEWATER, U007",Retail Stores,Barista,Individual contributor,United Kingdom,England,Bluewater,DA9 9SS,51.43914,0.27227,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001934&lang=en-GB,
101,"Supervisor - Store# 12101, COVENT GDN WC2-RUSSE",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,WC2B 5HZ,51.51235,-0.12164,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001937&lang=en-GB,
102,"Barista - Store# 12101, COVENT GDN WC2-RUSSE",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,WC2B 5HZ,51.51235,-0.12164,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001938&lang=en-GB,
103,"Supervisor - Store# 12104, EDGWARE ROAD, 207",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,W2 1ES,51.51891,-0.16891,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001939&lang=en-GB,
104,"Barista - Store# 12104, EDGWARE ROAD, 207",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,W2 1ES,51.51891,-0.16891,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001940&lang=en-GB,
105,"Supervisor - Store# 12110, ABERDEEN - UNION STR",Retail Stores,Shift Supervisor,Team leader,United Kingdom,Scotland,Aberdeen,AB10 1TL,57.1448,-2.10591,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001941&lang=en-GB,
106,"Barista - Store# 12110, ABERDEEN - UNION STR",Retail Stores,Barista,Individual contributor,United Kingdom,Scotland,Aberdeen,AB10 1TL,57.1448,-2.10591,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001942&lang=en-GB,
107,"Supervisor - Store# 12114, BAKER STREET W1",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,W1M 1FH,51.52158,-0.15708,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001943&lang=en-GB,
108,"Barista - Store# 12114, BAKER STREET W1",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,W1M 1FH,51.52158,-0.15708,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001944&lang=en-GB,
109,"Supervisor - Store# 12115, RICHMOND - KEW ROAD",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,Richmond,TW9 2NQ,51.46365,-0.30215,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001945&lang=en-GB,
110,"Barista - Store# 12115, RICHMOND - KEW ROAD",Retail Stores,Barista,Individual contributor,United Kingdom,England,Richmond,TW9 2NQ,51.46365,-0.30215,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001946&lang=en-GB,
